,X,Y
235,2.9972274,-0.97726
236,3.0304034,-0.92692304
237,3.4408278,-1.0149133
238,3.068476,-0.9214555
239,3.0279014,-0.9644345
240,1.6604278,-0.80229187
241,1.2284826,-3.12762
242,0.5562588,-0.5212146
243,0.50803614,-0.5405491
244,0.4108863,-2.6680763
245,0.3881178,-3.0660746
246,0.29966152,-2.8648834
247,0.7428481,-0.46828523
248,0.7430565,-0.46190962
249,0.69704896,-0.32025307
250,0.5401244,-0.50962263
251,0.4683662,-0.46880668
252,0.5358076,-0.67695093
253,0.6066845,-0.719563
254,1.9456377,-1.9176625
255,1.0819886,-1.1924816
256,0.58973193,-0.52693677
257,0.6030295,-0.56201947
258,0.6552566,-0.7616251
259,1.3195043,-0.5745293
260,1.3171616,-0.5861515
261,3.0674567,-1.0381061
262,1.2677281,-0.44895017
263,1.2140085,-0.69669557
264,0.5045085,-0.6260155
265,1.2689427,-0.35860917
266,-1.8970492,0.17104599
267,-1.923875,0.043803073
268,1.3324897,-0.7457926
269,0.63029313,-0.7316377
270,1.3449943,-0.44004244
271,2.1571846,-1.1236262
272,0.6822517,-3.9288988
273,0.71125317,-0.7941928
274,0.2591192,-3.288616
275,0.2662537,-3.3781087
276,-1.8417858,0.1752949
277,-0.39343226,-0.5354527
278,-0.70994735,-1.0592675
279,1.2644553,-0.48594818
280,-1.4478507,-2.558499
281,-2.5188391,0.31811664
282,-2.3527799,-0.46409813
283,1.2692554,-1.5536239
284,-0.89717156,-0.4685166
285,-0.76569974,-0.3654681
286,-2.2494493,-2.1784966
287,0.6171426,-0.60791147
288,0.76637524,-3.0672185
289,-1.4582294,-2.169193
290,3.3427823,-1.927198
291,0.7252263,-0.8349781
292,0.7834594,-1.4802052
293,-0.7722852,-1.2590901
294,-0.8068944,-1.2316011
295,1.2693977,-0.5262267
296,1.2603645,-0.49603155
297,1.226961,-0.5739142
298,-2.1915975,-2.5767932
299,0.7904508,-3.894249
300,-2.5982907,0.37727746
301,1.1988902,-0.68695176
302,1.2676327,-0.5141521
303,0.3954451,-3.2156672
304,-1.9733315,-1.9628029
305,0.7863778,-3.616494
306,1.2731338,-0.5328833
307,0.61094713,-4.7330594
308,0.7773949,-0.8962184
309,0.5546969,-0.52752787
310,-1.7775161,-1.8519244
311,-2.4891982,0.3532854
312,-0.70308197,-0.3729134
313,-0.38911366,-0.48392734
314,-0.32210004,-0.4699739
315,0.7020968,-2.6486514
316,-4.2827024,-2.147156
317,-1.6729642,-3.009805
318,-1.1426193,-0.95622826
319,2.1425397,-1.9490572
320,-0.16343723,-0.3987827
321,2.1462739,-0.73245406
322,1.5664499,-1.0722445
323,-0.42262864,-0.5091435
324,-2.8686903,-3.40429
325,-2.5739415,0.3998967
326,-1.2303109,-1.1113015
327,1.2518064,-1.0865995
328,1.2469693,-1.5359424
329,3.248954,-1.8115605
330,0.7974926,-0.747983
331,0.61529243,-0.84774303
332,0.7830343,-0.71999824
333,1.2871526,-1.2866906
334,0.62556505,-0.7321151
335,1.2804211,-1.2949045
336,0.8582437,-0.53606206
337,-0.21331762,-0.41929772
338,0.468283,0.05466316
339,0.4462502,0.015154697
340,0.5161873,-0.7473547
341,0.47185624,0.4085048
342,-1.7362509,3.303124
343,0.5842561,-0.88607997
344,0.4639668,0.5177893
345,0.48176384,-0.59108317
346,0.46363378,-0.59130955
347,0.5405611,0.08266155
348,3.5503218,-0.60233647
349,0.042064384,4.207643
350,0.05370508,4.21265
351,0.04103826,4.2313786
352,-2.7739756,4.200877
353,-0.67255723,-0.25731286
354,0.0053355247,1.9365994
355,0.4983319,-0.6472415
356,0.41180497,-4.131352
357,3.0518909,-1.5836304
358,1.5984428,0.8271628
359,0.6935734,-0.7832884
360,0.9466181,0.5439847
361,0.9251789,0.5203636
362,0.6654328,-0.6236173
363,0.614175,-0.7309273
364,-1.1344357,-1.9682294
365,-1.1374454,1.2098354
366,0.5271866,0.1211668
367,0.33613235,4.2047777
368,0.19057636,1.5108595
369,0.36131942,1.0564026
370,0.33246183,-2.4205315
371,0.302832,-2.4379537
372,-2.7002227,4.2398095
373,-0.27230513,-0.3542907
374,0.2809261,-2.6549935
375,0.22338499,-2.522004
376,0.6363082,-0.5435203
377,0.6134635,-0.40716806
378,-2.5436957,3.9057045
379,0.68352246,-0.5208873
380,0.6568885,-0.51546484
381,4.227845,-0.9194093
382,1.1805868,0.2738376
383,1.0548915,0.22049099
384,-1.4793563,-0.22992346
385,-1.2564576,2.0934765
386,0.6841211,-0.66910064
387,0.70242655,-0.672277
388,-1.5486002,-0.7566227
389,1.0231224,1.75815
390,0.048322454,1.9171259
391,0.49926186,0.09518451
392,-1.2732728,2.1503208
393,3.1382425,-0.95031095
394,0.5760238,-3.1057775
395,-2.6162007,0.53340006
396,1.2137084,-1.8284693
397,-0.8347428,-0.43239638
398,3.280886,-0.7695789
399,0.1974525,2.2836826
400,0.43247437,0.3513724
401,1.0194446,0.65956163
402,0.6708129,-0.5216338
403,0.7102781,0.24376428
404,-0.7029555,-0.32212013
405,1.7552633,-0.4169845
406,-3.1934545,1.0370333
407,0.5910169,-0.6569683
408,0.71242917,0.14656594
409,0.57503647,-0.6638012
410,-0.35300887,-0.5431839
411,-0.79392475,3.128107
412,1.9778202,-1.6242778
413,2.109229,-0.65851355
414,0.62919116,-0.62579536
415,-1.8978401,-0.26811203
416,0.6194117,-0.47075042
417,-1.9872549,-0.39105567
418,-2.6507504,0.053815283
419,-1.1041365,-1.8476764
420,-0.7761801,3.134713
421,1.932725,3.1128533
422,-1.0539094,-1.8218488
423,0.09966765,3.9039257
424,-3.5046608,-1.2648908
425,0.24197294,-2.9492197
426,0.64056164,-0.50989556
427,0.6995882,-0.65880334
428,-1.7952511,-1.00098
429,0.68639004,-0.7741002
430,0.98571944,2.4184391
431,2.6015768,-1.0803626
432,0.6671112,-1.4983059
433,-0.30397248,-0.5964795
434,-0.7463203,1.1256016
435,0.6202385,0.41655424
436,0.31875342,1.1072239
437,0.30168957,-2.5108836
438,0.628984,-0.37994403
439,-1.7764547,-0.9574518
440,0.2752921,1.0032185
441,-1.0637496,1.2114512
442,1.9292564,3.130809
