X,Y,hardness,depth,brightness,roughness,warmth,sharpness,boominess,reverb
1.76,-1.28,35.541276775510596,53.091050602072116,46.789774074836366,40.36965626620588,57.38024068178775,29.408645523546635,35.26468538738611,1
-0.64,0.16,57.78004685433197,32.48485847425796,61.76400226479161,55.66783002042088,34.15108572227629,47.3259488499833,23.1131453546979,1
-3.68,-2.08,16.37290298290158,33.98353783706916,41.59008902458609,28.367978529642514,42.148429666463926,29.49365592694334,28.88915816021019,1
0.8,-3.36,39.53392109535989,48.45652886855542,49.02546947301107,48.550503735721335,48.57147261972716,30.511907900353652,31.596249655794185,1
2.24,3.04,61.450162494231165,32.53728635576319,69.51320083971214,70.40770182455918,32.94199036660616,58.571651348448036,14.79149869655296,0
1.76,-3.84,34.13279232902525,30.623883702156654,46.43578231651489,30.752400037705915,49.959674814889695,30.71393651599001,32.217052813533705,1
3.84,1.12,56.58231556175764,42.548676137341346,63.21963210085739,61.49150589412561,41.902886623974986,49.151752626944734,23.00043740237453,1
-2.08,-0.64,43.07380797473061,31.773123132733936,52.1888418707268,30.892061863829117,47.076698479484385,37.10406484152417,30.761314510690656,0
-3.68,-1.92,28.412257849324703,34.478068008300575,44.963924801658976,30.74199991141014,38.49954899821339,28.524394464282715,29.181537994218203,1
-2.4,1.44,77.49225640849494,29.79250485403896,73.67085529010029,65.52204355472982,19.059010435290567,64.26974167671392,9.467115715431458,1
3.36,-0.96,33.036081055128946,51.41207827320145,46.73738489364957,29.164678332761913,49.867667733665165,27.202712146210718,39.19839686857027,1
0.32,-1.28,41.08333497000095,51.1780244603086,49.300576296621074,46.56659822078082,48.88971904409367,31.59817868716307,35.67379967702392,0
-2.72,-2.08,34.177436566004005,35.07709953318839,47.05848767624306,50.28814612436444,47.775550815009346,29.57785173306172,27.7648504238407,1
-3.2,0.48,61.00783868755664,28.861906834083797,73.48424404017236,62.382888074551964,18.667421770446005,63.660479999628805,11.786513447596217,0
-3.84,2.08,61.65349398579269,28.334525191089234,69.56462245586286,62.595626842719454,23.194722087952094,59.43608366719906,17.380467427999157,1
1.44,-3.04,37.9552243593982,30.21593151959776,43.33587309631859,21.911124953558538,49.35456190397126,30.18490816616711,33.15660607782962,1
-0.16,2.08,68.47314675802002,29.21690188529815,73.07023597412007,60.59925317161418,18.7647848766783,64.97425645949924,7.951657803727091,1
-3.52,-2.4,30.44299578312244,41.35860809291582,49.33249971012613,43.40408868939726,51.202618034985825,32.547353315526095,31.91725500284682,1
-0.96,-0.48,33.67196031721761,53.17254173559207,47.24809635797979,39.817072225872685,49.10695145388837,27.79415930918508,38.16791566520232,0
2.56,1.6,59.09849275512096,39.334746834884,67.41255080757469,63.79457795173917,38.079097760751786,53.70820697081008,20.60449492044954,1
