preset_name,amp_attack,amp_decay,amp_sustain,amp_release,osc1_waveform,filter_attack,filter_decay,filter_sustain,filter_release,filter_resonance,filter_env_amount,filter_cutoff,osc2_detune,osc2_waveform,master_vol,lfo_freq,lfo_waveform,osc2_range,osc_mix,freq_mod_amount,filter_mod_amount,amp_mod_amount,osc_mix_mode,osc1_pulsewidth,osc2_pulsewidth,reverb_roomsize,reverb_damp,reverb_wet,reverb_width,distortion_crunch,osc2_sync,portamento_time,keyboard_mode,osc2_pitch,filter_type,filter_slope,freq_mod_osc,filter_kbd_track,filter_vel_sens,amp_vel_sens,portamento_mode
Dunk,0.785194,0,0.923333,1.275,1,0.941008,0,0.977525,1.19223,0.56368,-13.7116,1.0787,-0.816851,3,0.448819,2.61842,1,0,-0.369075,1.12757,0.103761,-0.208369,0,0.104842,0.419692,0.179984,0.424096,0.130043,1,0,0,0,0,7,0,1,,,,,
SineUs,0.565835,0.441316,0.540898,1.10791,0,1.05787,1.17524,0.539007,0.43249,0.319298,4.03781,-0.178762,0.294443,1,0.631627,1.725,0,-1,-1,0.181059,-0.872562,-1,0,0.112752,0.283664,0.151792,0.230494,0.212585,0.0277402,0.0770439,0,0,1,8,1,0,,,,,
Unsure2,0.198375,0.89097,0,0.282801,2,0.520752,0.906021,0.299654,1.76876,0.076378,5.45097,0.0826772,0.748031,2,0.850394,2.74902,0,2,-0.669291,0.410446,-0.572756,0.410582,0,0.330709,0.787402,0.0973194,0.520821,0.0912467,0.919362,0.0936383,0,0,1,0,2,0,,,,,
Tenor,0.49151,0.940744,0.54185,1.02941,2,0.326253,0.691148,0.781322,1.50401,0.363239,0.0680876,-0.247254,0.168605,2,0.582677,2.71654,0,1,0.355819,0.268783,-1,-1,0,0.46895,0.227906,0.199068,0.384147,0.220142,0.886617,0.0930208,1,0.04,2,9,1,0,,,,,
SetCourse,0.0514751,2.3545,0.831366,0.634415,0,0.795281,0.808759,0.0323416,1.32626,0.0992913,-10.4567,0.870079,0.409898,1,0.565932,0,0,0,-0.606299,0.234383,-0.0572865,-0.457618,1,0.165674,0.902825,0.158995,0.527352,0.170651,0.930655,0.0634256,1,0.0145785,0,1,2,1,,,,,
Frequency1,0.0514751,1.5545,0,0.634415,0,0.795281,0.808759,0.895675,1.32626,0.0992913,-10.4567,0.870079,0.370079,1,0.818898,2.00787,2,2,-0.606299,0.0789926,-0.97062,-0.244284,1,0.165674,0.902825,0.158995,0.527352,0.170651,0.930655,0.0634256,0,0,0,10,2,1,,,,,
Frequency2,0.0514751,1.5545,0,0.634415,2,0.75,0.875426,0.902342,1.32626,0,-12.9764,0.756746,0.370079,1,0.818898,2.00787,2,2,-0.572966,0.0789926,-0.97062,-0.244284,1,0,0.902825,0.158995,0.527352,0.170651,0.930655,0.0634256,0,0,0,10,2,0,,,,,
DizzyByNow3,0.0333333,1.17501,0,0.73192,2,0.0916667,0.533334,0.173333,0.791667,0.527008,5.16535,0.2937,0.527559,1,0.606299,2.12598,0,2,-0.023622,0.130192,-0.72,-0.54,0,0.787402,0.314961,0.036667,0.88,0.0999993,1,0,1,0,0,4,0,0,,,,,
TapSoft,0.141667,1.30834,0,1.53192,1,0.133333,0.141667,1,2.35,0.679764,-10.9606,0.966666,0.00787402,1,0.874016,0,0,1,0.322835,0.079795,-1,-1,0,0.824467,0.823333,0,0.88,0,1,0,0,0,0,12,0,1,,,,,
ModulateIt2,1.48692,1.58659,0,1.15998,2,1.95654,1.67477,0.0833968,1.15827,0.706947,5.35244,-0.148694,0.800464,0,0.519685,1.65354,0,1,-0.806564,0.115114,0.518146,0.30728,0,0.977436,0.751824,0.0687276,0.302145,0.167655,0.951748,0.0205782,0,0,0,11,0,1,,,,,
